data,tmedia,tmin,tmax
2022-01-01,12.6,9.9,15.6
2022-01-02,12.7,11.4,14.4
2022-01-03,12.5,9.4,15.9
2022-01-04,12.1,8.5,16.4
2022-01-05,14.0,9.2,19.1
2022-01-06,12.1,10.4,13.6
2022-01-07,11.5,10.4,12.4
2022-01-08,10.8,10.1,11.8
2022-01-09,12.3,10.4,14.6
2022-01-10,9.4,8.6,10.4
2022-01-11,11.2,10.0,12.2
2022-01-12,8.9,7.2,11.7
2022-01-13,9.9,7.6,11.2
2022-01-14,9.2,7.4,11.2
2022-01-15,11.2,9.1,13.6
2022-01-16,11.3,9.3,14.5
2022-01-17,11.6,8.6,14.4
2022-01-18,11.5,8.6,14.4
2022-01-19,10.5,7.6,14.1
2022-01-20,10.2,6.4,13.9
2022-01-21,11.4,10.1,13.3
2022-01-22,9.7,7.6,11.8
2022-01-23,9.3,7.5,12.0
2022-01-24,9.1,7.4,10.8
2022-01-25,6.7,4.3,9.4
2022-01-26,8.6,5.0,12.7
2022-01-27,10.1,7.5,13.5
2022-01-28,10.9,7.6,13.2
2022-01-29,11.2,9.8,12.7
2022-01-30,12.1,8.9,15.3
2022-01-31,13.7,11.7,15.8
2022-02-01,11.1,9.6,12.5
2022-02-02,12.4,10.2,15.4
2022-02-03,11.0,8.1,14.3
2022-02-04,13.9,8.2,19.4
2022-02-05,13.8,10.4,17.6
2022-02-06,12.2,8.7,15.4
2022-02-07,13.4,11.6,14.9
2022-02-08,11.3,9.7,12.9
2022-02-09,10.8,7.7,14.5
2022-02-10,11.1,8.4,15.3
2022-02-11,11.5,8.1,15.8
2022-02-12,10.4,7.7,14.4
2022-02-13,10.7,6.8,14.6
2022-02-14,12.1,7.6,16.1
2022-02-15,12.7,10.3,15.5
2022-02-16,10.8,9.2,12.6
2022-02-17,11.5,8.3,14.9
2022-02-18,12.1,8.1,16.7
2022-02-19,14.1,9.2,17.9
2022-02-20,14.8,12.0,18.6
2022-02-21,14.0,10.9,16.5
2022-02-22,13.3,11.1,15.4
2022-02-23,12.5,9.9,14.8
2022-02-24,11.5,7.7,15.4
2022-02-25,10.8,5.8,15.7
2022-02-26,11.9,9.6,15.1
2022-02-27,10.8,9.6,13.0
2022-02-28,10.3,8.4,12.7
2022-03-01,8.9,7.6,11.0
2022-03-02,9.1,6.5,11.7
2022-03-03,9.5,6.1,11.8
2022-03-04,11.4,8.8,14.8
2022-03-05,11.1,9.5,13.4
2022-03-06,10.6,8.5,13.0
2022-03-07,9.9,8.1,12.7
2022-03-08,9.7,8.4,12.1
2022-03-09,9.4,7.7,11.1
2022-03-10,10.7,8.2,14.4
2022-03-11,11.1,8.1,13.4
2022-03-12,10.3,7.1,12.5
2022-03-13,10.1,8.2,12.1
2022-03-14,12.3,9.1,15.9
2022-03-15,12.5,9.0,16.3
2022-03-16,12.7,8.2,16.7
2022-03-17,13.3,9.3,16.5
2022-03-18,14.5,11.8,17.0
2022-03-19,12.7,9.8,14.5
2022-03-20,10.4,7.7,13.1
2022-03-21,8.7,6.6,11.2
2022-03-22,9.4,5.1,12.6
2022-03-23,10.4,5.0,14.9
2022-03-24,11.1,5.2,16.5
2022-03-25,11.3,5.1,15.9
2022-03-26,13.5,6.6,17.5
2022-03-27,16.1,12.5,20.1
2022-03-28,14.2,11.3,18.1
2022-03-29,14.2,10.2,17.9
2022-03-30,19.7,13.4,22.8
2022-03-31,17.4,14.5,20.9
2022-04-01,15.1,12.2,16.9
2022-04-02,11.7,9.9,13.7
2022-04-03,12.2,10.1,14.3
2022-04-04,12.8,10.5,14.3
2022-04-05,13.7,11.4,16.5
2022-04-06,15.3,11.2,18.5
2022-04-07,16.0,14.0,18.4
2022-04-08,17.9,13.8,22.1
2022-04-09,18.5,15.6,21.7
2022-04-10,14.3,10.9,16.7
2022-04-11,12.4,8.5,16.1
2022-04-12,13.1,8.5,17.3
2022-04-13,13.9,9.1,17.5
2022-04-14,15.4,11.2,18.2
2022-04-15,16.7,12.6,20.3
2022-04-16,15.5,12.3,19.2
2022-04-17,13.4,11.8,15.9
2022-04-18,13.6,11.2,16.0
2022-04-19,13.5,9.2,17.4
2022-04-20,17.0,11.3,19.4
2022-04-21,19.4,15.0,23.6
2022-04-22,16.8,14.4,19.7
2022-04-23,17.1,12.2,21.2
2022-04-24,18.1,13.1,22.3
2022-04-25,15.7,11.4,19.6
2022-04-26,16.0,11.5,19.9
2022-04-27,16.5,11.9,20.6
2022-04-28,16.6,12.6,20.0
2022-04-29,16.5,13.0,19.8
2022-04-30,16.3,12.3,19.8
