data,tmedia,tmin,tmax
2020-01-01,2,-3,10
2020-01-02,2,-2,8
2020-01-03,3,-1,8
2020-01-04,5,-1,10
2020-01-05,5,-1,13
2020-01-06,1,-1,4
2020-01-07,0,-1,2
2020-01-08,1,0,2
2020-01-09,1,-2,6
2020-01-10,5,1,8
2020-01-11,3,-2,11
2020-01-12,3,-2,9
2020-01-13,1,-3,7
2020-01-14,3,0,6
2020-01-15,5,4,6
2020-01-16,5,1,9
2020-01-17,5,-1,11
2020-01-18,6,2,9
2020-01-19,4,0,8
2020-01-20,4,0,9
2020-01-21,2,-1,7
2020-01-22,3,-3,9
2020-01-23,3,-1,9
2020-01-24,4,-1,9
2020-01-25,5,2,8
2020-01-26,6,2,10
2020-01-27,5,-1,10
2020-01-28,7,5,9
2020-01-29,7,1,15
2020-01-30,6,0,11
2020-01-31,7,2,13
2020-02-01,8,7,10
2020-02-02,5,2,7
2020-02-03,6,3,10
2020-02-04,9,6,16
2020-02-05,9,3,14
2020-02-06,5,-1,12
2020-02-07,5,-2,13
2020-02-08,6,1,11
2020-02-09,4,-1,9
2020-02-10,7,5,11
2020-02-11,10,1,19
2020-02-12,10,2,16
2020-02-13,7,0,11
2020-02-14,8,3,15
2020-02-15,7,1,13
2020-02-16,8,0,14
2020-02-17,10,9,11
2020-02-18,10,6,15
2020-02-19,8,3,14
2020-02-20,7,1,14
2020-02-21,8,0,16
2020-02-22,8,1,14
2020-02-23,10,4,15
2020-02-24,13,9,19
2020-02-25,11,9,14
2020-02-26,10,7,14
2020-02-27,8,1,12
2020-02-28,10,5,16
2020-02-29,7,3,10
2020-03-01,7,5,8
2020-03-02,5,0,9
2020-03-03,8,5,12
2020-03-04,8,1,13
2020-03-05,7,4,10
2020-03-06,7,4,11
2020-03-07,9,2,16
2020-03-08,9,1,14
2020-03-09,8,3,10
2020-03-10,10,5,16
2020-03-11,12,4,20
2020-03-12,11,6,15
2020-03-13,15,13,19
2020-03-14,10,5,14
2020-03-15,8,4,13
2020-03-16,9,2,15
2020-03-17,10,3,17
2020-03-18,12,4,19
2020-03-19,13,5,20
2020-03-20,12,6,18
2020-03-21,13,6,20
2020-03-22,12,10,15
2020-03-23,6,2,10
2020-03-24,6,-1,12
2020-03-25,6,1,9
2020-03-26,5,1,7
2020-03-27,10,6,13
2020-03-28,13,8,19
2020-03-29,14,8,19
2020-03-30,12,8,15
2020-03-31,6,3,10
2020-04-01,7,2,10
2020-04-02,9,0,13
2020-04-03,9,2,17
2020-04-04,12,3,19
2020-04-05,13,7,18
2020-04-06,14,5,21
2020-04-07,15,6,22
2020-04-08,15,6,22
2020-04-09,16,6,24
2020-04-10,16,7,25
2020-04-11,18,7,26
2020-04-12,17,8,25
2020-04-13,17,9,23
2020-04-14,17,11,25
2020-04-15,12,7,17
2020-04-16,13,5,21
2020-04-17,16,6,22
2020-04-18,17,10,24
2020-04-19,17,11,23
2020-04-20,14,12,16
2020-04-21,13,11,16
2020-04-22,15,7,21
2020-04-23,15,8,21
2020-04-24,17,9,25
2020-04-25,19,15,25
2020-04-26,19,15,24
2020-04-27,18,15,21
2020-04-28,17,15,20
2020-04-29,18,13,23
2020-04-30,16,13,21
2020-05-01,16,13,19
2020-05-02,19,11,26
2020-05-03,20,15,24
2020-05-04,19,14,25
2020-05-05,19,12,25
2020-05-06,19,13,23
2020-05-07,19,11,25
2020-05-08,21,13,28
2020-05-09,21,13,27
2020-05-10,21,17,25
2020-05-11,16,14,18
2020-05-12,18,14,23
2020-05-13,15,13,16
2020-05-14,19,15,24
2020-05-15,18,14,22
2020-05-16,19,15,23
2020-05-17,19,15,24
2020-05-18,22,16,26
2020-05-19,20,17,23
2020-05-20,21,15,27
2020-05-21,22,17,27
2020-05-22,23,17,28
2020-05-23,23,19,28
2020-05-24,21,14,26
2020-05-25,22,15,27
2020-05-26,21,17,24
2020-05-27,20,16,25
2020-05-28,21,13,27
2020-05-29,18,14,22
2020-05-30,20,15,24
2020-05-31,19,15,24
2020-06-01,21,15,27
2020-06-02,23,17,30
2020-06-03,21,14,28
2020-06-04,17,16,19
2020-06-05,20,14,27
2020-06-06,21,15,26
2020-06-07,19,15,23
2020-06-08,17,13,21
2020-06-09,18,13,23
2020-06-10,18,14,23
2020-06-11,17,15,21
2020-06-12,20,15,25
2020-06-13,20,16,27
2020-06-14,21,17,27
2020-06-15,22,17,26
2020-06-16,22,18,26
2020-06-17,20,16,24
2020-06-18,21,15,26
2020-06-19,21,15,27
2020-06-20,21,14,28
2020-06-21,25,17,31
2020-06-22,25,16,31
2020-06-23,26,19,32
2020-06-24,26,20,30
2020-06-25,25,21,29
2020-06-26,25,20,29
2020-06-27,28,22,31
2020-06-28,26,20,32
2020-06-29,27,22,32
2020-06-30,26,22,31
2020-07-01,25,19,30
2020-07-02,26,20,31
2020-07-03,24,18,30
2020-07-04,23,17,29
2020-07-05,25,19,30
2020-07-06,27,20,32
2020-07-07,24,20,27
2020-07-08,24,20,29
2020-07-09,25,19,30
2020-07-10,27,21,32
2020-07-11,25,22,30
2020-07-12,24,19,28
2020-07-13,23,20,26
2020-07-14,23,18,26
2020-07-15,22,18,27
2020-07-16,23,17,29
2020-07-17,24,20,28
2020-07-18,23,19,28
2020-07-19,24,19,30
2020-07-20,26,19,31
2020-07-21,27,20,32
2020-07-22,27,22,33
2020-07-23,26,20,31
2020-07-24,21,16,26
2020-07-25,23,16,31
2020-07-26,25,20,30
2020-07-27,26,21,31
2020-07-28,27,21,33
2020-07-29,28,22,33
2020-07-30,30,25,34
2020-07-31,29,23,35
2020-08-01,30,23,36
2020-08-02,27,23,32
2020-08-03,21,17,25
2020-08-04,22,18,26
2020-08-05,23,16,27
2020-08-06,25,18,30
2020-08-07,26,20,30
2020-08-08,28,21,32
2020-08-09,28,22,33
2020-08-10,28,22,33
2020-08-11,27,21,33
2020-08-12,27,23,32
2020-08-13,26,21,31
2020-08-14,26,21,32
2020-08-15,26,19,31
2020-08-16,26,22,30
2020-08-17,25,20,29
2020-08-18,24,20,31
2020-08-19,25,20,31
2020-08-20,26,20,32
2020-08-21,28,21,33
2020-08-22,28,22,33
2020-08-23,26,20,31
2020-08-24,24,20,28
2020-08-25,25,20,30
2020-08-26,25,19,30
2020-08-27,25,19,31
2020-08-28,24,21,27
2020-08-29,21,20,23
2020-08-30,22,19,27
2020-08-31,20,15,25
2020-09-01,20,12,27
2020-09-02,20,16,24
2020-09-03,20,13,27
2020-09-04,22,15,29
2020-09-05,23,15,31
2020-09-06,23,16,29
2020-09-07,21,17,25
2020-09-08,22,17,27
2020-09-09,22,16,28
2020-09-10,23,17,28
2020-09-11,23,19,28
2020-09-12,23,17,30
2020-09-13,24,18,31
2020-09-14,24,18,30
2020-09-15,23,18,30
2020-09-16,24,18,30
2020-09-17,24,18,31
2020-09-18,25,19,30
2020-09-19,21,18,25
2020-09-20,21,17,26
2020-09-21,21,18,25
2020-09-22,19,17,22
2020-09-23,20,17,24
2020-09-24,19,17,24
2020-09-25,16,13,20
2020-09-26,16,9,20
2020-09-27,13,4,19
2020-09-28,14,7,21
2020-09-29,16,11,22
2020-09-30,17,11,23
2020-10-01,18,15,21
2020-10-02,17,15,19
2020-10-03,18,14,21
2020-10-04,15,12,21
2020-10-05,14,11,18
2020-10-06,14,10,19
