data,tmedia,tmin,tmax
2025-01-01,11.8,9.1,16.2
2025-01-02,11.7,7.9,15.9
2025-01-03,13.0,6.3,17.1
2025-01-04,14.7,11.6,18.2
2025-01-05,13.4,9.8,16.5
2025-01-06,16.8,12.2,21.1
2025-01-07,16.7,14.5,18.8
2025-01-08,14.5,10.2,17.4
2025-01-09,15.3,9.9,19.4
2025-01-10,16.7,14.9,19.4
2025-01-11,17.0,14.8,19.6
2025-01-12,12.3,10.1,16.0
2025-01-13,11.0,9.3,13.0
2025-01-14,12.3,10.2,13.3
2025-01-15,10.7,8.9,12.7
2025-01-16,11.2,8.8,15.2
2025-01-17,13.2,9.7,16.1
2025-01-18,13.1,9.5,16.0
2025-01-19,14.2,11.6,17.3
2025-01-20,12.8,8.8,16.9
2025-01-21,14.1,10.5,17.5
2025-01-22,13.9,11.3,17.9
2025-01-23,15.8,12.1,21.3
2025-01-24,16.2,12.4,19.1
2025-01-25,13.9,11.2,16.6
2025-01-26,15.7,11.5,22.7
2025-01-27,15.6,10.4,19.4
2025-01-28,19.1,14.5,22.9
2025-01-29,13.0,10.6,15.1
2025-01-30,14.0,11.2,17.8
2025-01-31,13.3,9.6,17.8
2025-02-01,14.0,10.3,17.1
2025-02-02,16.2,13.7,19.2
2025-02-03,14.0,11.9,17.0
2025-02-04,12.8,9.2,17.0
2025-02-05,13.1,10.4,16.4
2025-02-06,12.4,9.5,15.7
2025-02-07,13.8,11.4,15.8
2025-02-08,14.8,11.1,18.4
2025-02-09,12.5,9.3,14.9
2025-02-10,12.9,10.2,16.2
2025-02-11,12.0,8.9,15.9
2025-02-12,13.6,10.1,17.3
2025-02-13,13.6,10.8,17.7
2025-02-14,14.9,11.0,19.1
2025-02-15,12.7,10.2,14.9
2025-02-16,13.3,10.6,17.2
2025-02-17,12.8,8.8,16.0
2025-02-18,13.4,10.9,17.1
2025-02-19,12.9,9.1,16.4
2025-02-20,14.1,10.3,17.5
2025-02-21,14.1,11.9,17.3
2025-02-22,13.8,11.9,17.5
2025-02-23,13.4,11.0,17.0
2025-02-24,13.3,9.2,18.1
2025-02-25,14.1,10.9,17.7
2025-02-26,14.6,11.7,17.7
2025-02-27,13.2,9.4,16.7
2025-02-28,13.9,9.6,17.8
2025-03-01,16.4,11.7,21.5
2025-03-02,16.3,14.1,18.6
2025-03-03,14.9,12.1,18.4
2025-03-04,12.8,9.6,16.2
2025-03-05,13.2,7.9,16.5
2025-03-06,14.9,11.9,19.1
2025-03-07,13.4,11.1,15.1
2025-03-08,15.4,12.6,19.0
2025-03-09,16.7,11.3,21.4
2025-03-10,20.9,15.9,25.5
2025-03-11,17.6,14.2,20.3
2025-03-12,17.5,14.3,23.9
2025-03-13,18.0,15.2,21.9
2025-03-14,25.5,16.7,28.9
2025-03-15,19.5,14.5,25.8
2025-03-16,16.3,13.7,18.1
2025-03-17,15.0,10.6,17.7
2025-03-18,14.6,12.0,16.9
2025-03-19,14.1,12.7,15.3
2025-03-20,14.2,12.0,17.6
2025-03-21,14.7,11.1,17.9
2025-03-22,20.3,14.3,28.0
2025-03-23,19.2,16.1,23.5
2025-03-24,16.7,13.7,18.8
2025-03-25,15.4,12.4,19.2
2025-03-26,15.1,13.0,18.2
2025-03-27,13.9,11.2,16.2
2025-03-28,14.7,12.4,17.8
2025-03-29,14.5,12.0,17.7
2025-03-30,14.6,12.1,17.1
2025-03-31,15.0,12.0,18.7
2025-04-01,11.5,10.0,12.6
2025-04-02,14.5,10.1,17.9
2025-04-03,15.1,10.3,20.1
2025-04-04,14.3,11.8,17.3
2025-04-05,16.0,13.0,19.5
2025-04-06,16.3,11.6,18.9
2025-04-07,14.2,6.9,16.8
2025-04-08,13.0,7.8,16.4
2025-04-09,13.7,9.7,16.9
2025-04-10,14.8,11.4,17.8
2025-04-11,15.2,11.5,19.6
2025-04-12,16.0,9.8,21.0
2025-04-13,20.4,14.6,26.5
2025-04-14,25.2,20.9,27.1
2025-04-15,20.4,17.7,23.3
2025-04-16,19.7,14.0,26.8
2025-04-17,16.3,13.2,18.8
2025-04-18,16.8,10.9,22.0
2025-04-19,16.9,11.1,20.5
2025-04-20,18.5,12.9,23.3
2025-04-21,17.6,13.8,21.7
2025-04-22,18.2,14.1,22.1
2025-04-23,18.0,14.6,22.0
2025-04-24,18.9,14.3,23.3
2025-04-25,18.8,15.1,22.8
2025-04-26,17.9,14.3,21.0
2025-04-27,18.0,15.0,20.0
2025-04-28,16.1,14.0,18.5
2025-04-29,17.4,12.1,21.1
2025-04-30,19.3,14.0,24.4
2025-05-01,19.2,14.4,24.7
2025-05-02,19.6,14.7,23.1
2025-05-03,19.8,15.3,23.8
2025-05-04,19.2,14.2,24.0
2025-05-05,20.1,15.6,23.5
2025-05-06,19.6,14.9,23.1
2025-05-07,19.5,15.3,22.4
2025-05-08,19.3,16.7,21.7
2025-05-09,19.2,16.9,20.3
2025-05-10,19.0,15.2,21.7
2025-05-11,18.9,14.8,21.9
2025-05-12,18.9,15.1,22.0
2025-05-13,20.3,15.3,24.1
2025-05-14,19.0,15.6,22.0
2025-05-15,17.6,15.6,18.7
2025-05-16,20.4,16.9,24.2
2025-05-17,20.6,17.2,24.3
2025-05-18,20.3,16.5,23.4
2025-05-19,21.2,17.4,24.6
2025-05-20,23.9,18.6,33.3
2025-05-21,22.6,19.3,25.7
2025-05-22,21.8,17.4,24.3
2025-05-23,21.9,18.7,24.7
2025-05-24,19.9,17.5,23.0
2025-05-25,20.6,17.1,23.5
2025-05-26,21.4,16.8,24.8
2025-05-27,20.6,17.4,23.1
2025-05-28,21.7,17.5,26.8
2025-05-29,22.5,18.0,27.6
2025-05-30,23.4,19.2,26.5
2025-05-31,23.1,19.6,26.6
2025-06-01,23.9,19.3,27.1
2025-06-02,23.5,19.8,27.0
2025-06-03,23.6,19.9,26.1
2025-06-04,24.6,19.7,28.1
2025-06-05,26.1,21.3,30.0
2025-06-06,26.3,21.1,30.4
2025-06-07,26.8,19.3,31.3
2025-06-08,27.8,23.7,33.3
2025-06-09,26.2,22.3,29.1
2025-06-10,25.9,22.5,28.8
2025-06-11,25.1,21.6,27.8
2025-06-12,25.7,22.2,28.6
2025-06-13,26.7,22.7,31.6
2025-06-14,26.5,22.4,29.7
2025-06-15,26.8,20.9,30.5
2025-06-16,27.8,22.6,31.5
2025-06-17,27.9,24.9,32.2
2025-06-18,25.6,20.7,30.0
2025-06-19,24.5,21.8,28.9
2025-06-20,24.2,19.5,29.0
2025-06-21,26.3,21.8,30.4
2025-06-22,27.5,23.0,31.3
2025-06-23,27.7,24.5,30.5
2025-06-24,27.5,24.0,30.6
2025-06-25,27.8,23.3,31.1
2025-06-26,28.3,22.6,32.4
2025-06-27,29.1,25.1,34.1
2025-06-28,28.9,25.2,33.1
2025-06-29,28.7,26.3,31.4
2025-06-30,28.7,23.9,33.4
2025-07-01,29.2,24.9,33.4
2025-07-02,29.4,25.7,31.9
2025-07-03,29.8,27.1,32.5
