data,tmedia,tmin,tmax
2020-01-01,10.5,7.9,13.6
2020-01-02,11.3,8.1,14.4
2020-01-03,12.0,10.3,14.2
2020-01-04,12.0,10.6,14.1
2020-01-05,13.0,11.1,15.5
2020-01-06,10.7,8.9,12.0
2020-01-07,10.2,7.1,13.4
2020-01-08,10.2,7.9,13.0
2020-01-09,9.7,6.7,13.9
2020-01-10,8.9,6.2,12.8
2020-01-11,8.9,5.0,12.8
2020-01-12,9.8,6.2,13.5
2020-01-13,9.9,6.8,14.0
2020-01-14,10.5,6.3,14.1
2020-01-15,10.0,6.6,14.3
2020-01-16,10.7,7.3,13.3
2020-01-17,10.9,9.0,12.6
2020-01-18,12.2,9.0,15.7
2020-01-19,11.0,8.7,14.5
2020-01-20,12.1,8.7,15.5
2020-01-21,12.7,9.1,16.7
2020-01-22,11.8,8.0,15.5
2020-01-23,11.1,8.0,15.2
2020-01-24,11.9,6.8,16.6
2020-01-25,12.9,9.3,17.1
2020-01-26,12.9,9.7,17.1
2020-01-27,12.5,9.6,16.1
2020-01-28,14.4,11.8,17.1
2020-01-29,15.9,13.9,18.2
2020-01-30,13.0,8.4,16.5
2020-01-31,12.7,8.2,17.3
2020-02-01,13.0,9.1,16.8
2020-02-02,14.0,11.4,17.7
2020-02-03,16.6,12.3,20.7
2020-02-04,17.6,14.3,22.3
2020-02-05,12.0,10.5,13.9
2020-02-06,10.3,8.7,12.3
2020-02-07,8.9,5.2,12.7
2020-02-08,8.9,3.8,13.6
2020-02-09,11.2,7.3,15.3
2020-02-10,14.8,9.9,18.0
2020-02-11,16.8,14.4,20.4
2020-02-12,14.2,9.8,18.2
2020-02-13,12.8,8.8,16.1
2020-02-14,14.8,10.8,18.6
2020-02-15,12.8,9.8,15.8
2020-02-16,11.3,7.8,15.5
2020-02-17,10.8,5.9,15.2
2020-02-18,11.1,6.4,15.5
2020-02-19,12.9,8.4,15.7
2020-02-20,13.6,10.9,16.1
2020-02-21,11.1,6.7,16.0
2020-02-22,11.9,7.9,15.4
2020-02-23,12.8,10.0,16.6
2020-02-24,13.3,7.9,18.5
2020-02-25,14.2,9.8,18.9
2020-02-26,15.6,12.4,18.3
2020-02-27,13.6,11.7,15.3
2020-02-28,15.4,11.4,19.4
2020-02-29,13.3,8.0,17.9
2020-03-01,18.6,13.6,23.4
2020-03-02,17.4,13.5,19.9
2020-03-03,14.7,11.8,17.2
2020-03-04,12.2,10.2,13.3
2020-03-05,13.5,10.7,16.6
2020-03-06,16.3,12.9,20.0
2020-03-07,12.4,11.0,14.2
2020-03-08,11.6,9.9,14.0
2020-03-09,12.9,10.4,15.9
2020-03-10,12.1,9.5,14.8
2020-03-11,12.2,8.6,15.9
2020-03-12,13.8,9.3,17.8
2020-03-13,15.5,11.3,18.8
2020-03-14,16.4,12.9,21.0
2020-03-15,14.5,11.6,16.9
2020-03-16,13.8,11.3,17.3
2020-03-17,14.1,10.6,17.6
2020-03-18,13.2,9.1,16.5
2020-03-19,13.2,8.2,17.1
2020-03-20,13.1,8.1,17.4
2020-03-21,13.5,9.6,17.1
2020-03-22,13.9,12.0,16.3
2020-03-23,13.1,10.7,15.6
2020-03-24,10.3,9.4,11.1
2020-03-25,9.7,8.6,10.6
2020-03-26,9.9,9.0,11.6
2020-03-27,10.2,8.7,11.5
2020-03-28,12.2,9.4,15.7
2020-03-29,12.2,9.0,14.7
2020-03-30,10.9,8.4,12.9
2020-03-31,12.3,7.7,16.0
2020-04-01,12.1,9.2,14.6
2020-04-02,10.8,9.1,12.6
2020-04-03,12.6,10.9,13.9
2020-04-04,13.9,11.9,16.1
2020-04-05,14.2,11.0,17.4
2020-04-06,14.2,10.8,17.4
2020-04-07,13.7,9.6,17.6
2020-04-08,13.2,8.7,17.4
2020-04-09,13.6,8.4,18.1
2020-04-10,13.8,8.7,18.1
2020-04-11,14.4,9.6,18.5
2020-04-12,15.4,10.3,19.8
2020-04-13,16.3,10.1,21.1
2020-04-14,18.2,14.6,21.5
2020-04-15,15.0,12.6,18.2
2020-04-16,15.5,11.7,18.6
2020-04-17,15.8,12.5,19.1
2020-04-18,16.6,12.5,20.1
2020-04-19,18.9,15.3,21.2
2020-04-20,19.5,17.2,21.4
2020-04-21,18.6,16.6,20.2
2020-04-22,16.3,13.1,19.3
2020-04-23,15.3,12.1,18.3
2020-04-24,15.6,12.2,18.6
2020-04-25,16.0,10.4,20.0
2020-04-26,16.3,14.2,18.8
2020-04-27,17.7,13.9,21.0
2020-04-28,18.4,14.6,20.8
2020-04-29,18.9,16.6,21.4
2020-04-30,18.3,15.1,21.3
2020-05-01,19.9,16.4,22.9
2020-05-02,21.9,17.9,25.2
2020-05-03,20.7,17.0,23.7
2020-05-04,18.4,14.8,21.9
2020-05-05,19.5,15.5,23.6
2020-05-06,20.7,15.4,25.1
2020-05-07,18.7,14.9,21.3
2020-05-08,18.2,14.0,22.0
2020-05-09,19.1,14.4,22.3
2020-05-10,21.2,17.2,24.1
2020-05-11,20.4,16.8,23.3
2020-05-12,20.4,16.2,24.5
2020-05-13,25.9,16.7,32.5
2020-05-14,30.6,26.1,35.0
2020-05-15,22.3,20.2,25.5
2020-05-16,27.3,19.3,34.8
2020-05-17,22.6,20.9,25.0
2020-05-18,22.7,19.3,26.0
2020-05-19,20.4,17.5,22.4
2020-05-20,20.3,17.7,22.3
2020-05-21,19.7,17.2,22.2
2020-05-22,20.0,16.1,23.2
2020-05-23,20.0,14.5,24.5
2020-05-24,21.1,16.8,24.3
2020-05-25,21.6,18.3,24.5
2020-05-26,21.1,18.3,23.9
2020-05-27,20.3,17.9,22.1
2020-05-28,19.9,15.8,22.6
2020-05-29,19.3,15.5,22.3
2020-05-30,18.7,15.1,21.7
2020-05-31,18.7,15.9,21.1
2020-06-01,20.0,17.2,22.7
2020-06-02,20.3,16.9,22.7
2020-06-03,20.8,17.1,24.1
2020-06-04,24.3,15.7,28.7
2020-06-05,22.3,20.9,25.5
2020-06-06,21.7,17.9,24.7
2020-06-07,21.7,16.5,24.9
2020-06-08,22.8,19.7,25.3
2020-06-09,21.9,18.9,24.9
2020-06-10,20.9,18.1,23.8
2020-06-11,20.4,17.3,23.0
2020-06-12,21.6,16.3,25.1
2020-06-13,22.9,19.9,25.9
2020-06-14,22.4,18.8,25.7
2020-06-15,22.9,18.8,25.7
2020-06-16,23.3,20.1,26.0
2020-06-17,23.9,19.2,28.4
2020-06-18,22.7,17.7,26.0
2020-06-19,24.3,21.4,27.7
2020-06-20,23.5,20.6,26.3
2020-06-21,23.2,20.1,26.1
2020-06-22,22.8,19.7,25.5
2020-06-23,24.5,20.6,27.6
2020-06-24,24.4,19.7,28.0
2020-06-25,24.5,20.0,27.9
2020-06-26,25.4,21.6,27.9
2020-06-27,26.0,21.8,28.6
2020-06-28,25.3,22.3,27.7
2020-06-29,25.6,22.2,28.6
2020-06-30,25.8,20.9,29.4
2020-07-01,26.8,21.7,30.1
2020-07-02,27.4,24.2,30.5
2020-07-03,26.4,23.1,29.3
2020-07-04,25.5,23.2,27.3
2020-07-05,25.7,23.0,28.4
2020-07-06,25.9,21.8,29.4
2020-07-07,25.1,20.3,28.6
2020-07-08,26.1,22.3,28.8
2020-07-09,25.7,22.7,28.2
2020-07-10,26.4,23.6,29.2
2020-07-11,26.1,22.6,29.1
2020-07-12,26.1,21.4,29.5
2020-07-13,26.8,23.2,29.8
2020-07-14,26.4,23.0,29.4
2020-07-15,25.4,21.8,28.3
2020-07-16,25.5,21.7,28.6
2020-07-17,24.7,21.2,26.8
2020-07-18,25.2,21.9,27.5
2020-07-19,25.2,21.2,27.9
2020-07-20,25.3,22.3,28.0
2020-07-21,25.5,21.3,28.8
2020-07-22,26.2,21.4,29.7
2020-07-23,26.5,21.8,30.1
2020-07-24,27.6,23.4,31.1
2020-07-25,26.9,22.3,30.5
2020-07-26,26.8,22.1,30.6
2020-07-27,26.9,23.2,30.4
2020-07-28,27.0,21.3,31.3
2020-07-29,27.3,22.4,31.3
2020-07-30,28.1,22.7,31.8
2020-07-31,28.7,24.3,32.2
2020-08-01,29.4,24.4,34.2
2020-08-02,28.4,23.5,32.2
2020-08-03,29.6,25.4,33.7
2020-08-04,28.2,25.5,31.1
2020-08-05,26.3,23.6,28.8
2020-08-06,25.6,23.0,27.9
2020-08-07,25.9,21.8,28.8
2020-08-08,26.9,22.6,30.3
2020-08-09,27.0,23.2,30.0
2020-08-10,27.6,22.7,31.3
2020-08-11,27.3,23.8,30.7
2020-08-12,27.4,24.3,30.7
2020-08-13,28.4,24.5,31.8
2020-08-14,30.1,24.0,34.5
2020-08-15,28.9,26.3,31.9
2020-08-16,29.5,25.1,33.3
2020-08-17,29.6,25.0,34.2
2020-08-18,27.3,23.7,30.4
2020-08-19,27.1,21.7,30.7
2020-08-20,27.2,23.2,30.5
2020-08-21,27.2,22.9,30.8
2020-08-22,28.0,23.7,31.2
2020-08-23,27.6,24.3,30.4
2020-08-24,26.6,22.9,30.0
2020-08-25,26.3,21.8,29.3
2020-08-26,26.7,22.7,30.1
2020-08-27,26.2,21.8,30.4
2020-08-28,27.3,22.0,31.4
2020-08-29,29.1,22.4,34.8
2020-08-30,31.2,27.1,37.3
2020-08-31,26.9,22.9,32.0
2020-09-01,24.1,21.7,27.0
2020-09-02,23.8,21.9,26.5
2020-09-03,24.8,22.6,26.9
2020-09-04,25.3,21.9,27.9
2020-09-05,24.7,20.7,28.0
2020-09-06,25.5,22.0,28.4
2020-09-07,25.2,23.0,27.6
2020-09-08,25.7,22.4,28.7
2020-09-09,26.6,23.7,29.7
2020-09-10,26.2,22.7,29.7
2020-09-11,24.0,21.7,26.5
2020-09-12,23.5,21.3,25.8
2020-09-13,23.9,21.0,26.2
2020-09-14,24.7,22.1,27.2
2020-09-15,24.9,22.0,28.1
2020-09-16,24.5,22.2,27.0
2020-09-17,25.5,23.4,28.0
2020-09-18,25.6,22.9,28.4
2020-09-19,24.7,22.1,27.9
2020-09-20,24.9,20.9,28.4
2020-09-21,25.3,22.5,28.8
2020-09-22,24.4,21.9,27.3
2020-09-23,24.7,21.4,26.5
2020-09-24,25.0,20.2,29.5
2020-09-25,27.3,22.8,31.2
2020-09-26,21.4,19.4,23.1
2020-09-27,21.8,18.6,25.2
2020-09-28,20.9,18.4,23.4
2020-09-29,21.4,19.3,24.2
2020-09-30,21.4,18.0,24.3
2020-10-01,21.6,19.8,24.1
2020-10-02,23.7,19.0,26.7
2020-10-03,27.3,21.1,32.6
2020-10-04,21.3,18.4,24.1
2020-10-05,22.1,19.6,24.8
2020-10-06,20.6,18.5,23.2
2020-10-07,20.8,16.9,23.4
2020-10-08,20.6,17.8,23.4
2020-10-09,19.8,16.1,23.3
2020-10-10,19.0,14.6,22.8
2020-10-11,20.1,15.4,23.9
2020-10-12,18.1,16.4,20.7
2020-10-13,18.0,16.5,19.6
2020-10-14,21.5,17.4,24.4
2020-10-15,20.7,16.5,23.7
2020-10-16,17.5,15.4,19.9
2020-10-17,17.1,14.9,19.6
2020-10-18,16.8,14.7,18.9
2020-10-19,17.3,13.8,20.1
2020-10-20,16.4,12.8,20.3
2020-10-21,17.2,12.3,21.8
2020-10-22,17.9,13.9,22.5
2020-10-23,19.0,15.2,23.0
2020-10-24,20.3,17.5,23.7
