data,tmedia,tmin,tmax
2022-01-01,10,7,13
2022-01-02,9,7,10
2022-01-03,11,8,14
2022-01-04,13,12,15
2022-01-05,13,10,16
2022-01-06,10,6,12
2022-01-07,8,4,13
2022-01-08,5,2,9
2022-01-09,4,1,10
2022-01-10,6,3,10
2022-01-11,8,6,13
2022-01-12,7,3,13
2022-01-13,6,1,13
2022-01-14,5,0,11
2022-01-15,6,0,13
2022-01-16,8,2,14
2022-01-17,7,2,13
2022-01-18,6,2,14
2022-01-19,8,1,13
2022-01-20,10,8,11
2022-01-21,8,5,12
2022-01-22,6,2,11
2022-01-23,5,-1,12
2022-01-24,7,2,13
2022-01-25,5,0,11
2022-01-26,7,-1,11
2022-01-27,7,1,13
2022-01-28,8,4,13
2022-01-29,7,2,13
2022-01-30,7,1,12
2022-01-31,8,2,11
2022-02-01,9,6,14
2022-02-02,8,2,15
2022-02-03,10,3,15
2022-02-04,12,6,15
2022-02-05,12,8,16
2022-02-06,10,5,16
2022-02-07,11,6,16
2022-02-08,7,1,14
2022-02-09,9,1,17
2022-02-10,10,3,17
2022-02-11,8,2,15
2022-02-12,9,3,16
2022-02-13,10,6,15
2022-02-14,12,10,14
2022-02-15,11,9,13
2022-02-16,9,6,13
2022-02-17,10,2,16
2022-02-18,12,7,15
2022-02-19,12,7,16
2022-02-20,12,9,16
2022-02-21,12,8,15
2022-02-22,11,6,19
2022-02-23,12,3,19
2022-02-24,11,4,17
2022-02-25,11,4,15
2022-02-26,7,4,10
2022-02-27,7,4,11
2022-02-28,7,3,13
2022-03-01,6,2,10
2022-03-02,6,0,12
2022-03-03,7,0,14
2022-03-04,7,2,13
2022-03-05,7,3,13
2022-03-06,6,1,12
2022-03-07,6,0,11
2022-03-08,5,0,10
2022-03-09,7,0,13
2022-03-10,9,2,16
2022-03-11,9,3,14
2022-03-12,9,5,13
2022-03-13,9,3,14
2022-03-14,9,3,16
2022-03-15,11,4,17
2022-03-16,11,4,16
2022-03-17,13,7,19
2022-03-18,14,9,17
2022-03-19,13,10,14
2022-03-20,10,6,15
2022-03-21,9,3,14
2022-03-22,9,2,15
2022-03-23,10,2,19
2022-03-24,11,4,19
2022-03-25,11,3,19
2022-03-26,13,3,19
2022-03-27,16,11,21
2022-03-28,14,11,18
2022-03-29,13,7,19
2022-03-30,13,10,15
2022-03-31,13,10,16
2022-04-01,11,9,14
